uid,type,episodeNumber,name,url,description,season,places,State,MillionDollar,show,location,coords,point,lat,lng,altitude,hgtv_go_url,hgtv_go_url_good,hulu_url
414,TVEpisode,6,San Juan Islands Serenity,https://www.hgtv.com/shows/house-hunters/episodes/san-juan-islands-serenity,After years of living a hectic lifestyle north of Seattle; Sybil and Travis settled on the quiet shores of Washington's San Juan Islands; and now are searching for another home among the islands for a family vacation spot. But while Sybil wants to find a home that will appeal to renters; Travis is firm on budget.,161,San Juan Islands,Washington,0,House Hunters,San Juan Islands; Washington,San Juan Islands; Unorganized Borough; Alaska; United States of America,(57.2870602; -134.00490622741472; 0.0),57.2870602,-134.0049062,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/san-juan-islands-serenity,Good,https://www.hulu.com/series/house-hunters-d9110a19-3f29-4ed1-b55c-0f4aa6869a320
659,TVEpisode,1,A Home Fit for Fitness in Washington,https://www.hgtv.com/shows/house-hunters/episodes/a-home-fit-for-fitness-in-washington,A fitness-loving couple is on the hunt for a home with a big yard for all their activities in Bothell; Washington. He wants a Craftsman-style house; and she wants a one-story ranch; but they agree that their top priority is enough space for tire-flipping and spear-throwing.,142,Bothell,Washington,0,House Hunters,Bothell; Washington,Bothell; King County; Washington; United States of America,(47.7598697; -122.2068288; 0.0),47.7598697,-122.2068288,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/a-home-fit-for-fitness-in-washington,Good,https://www.hulu.com/series/house-hunters-d9110a19-3f29-4ed1-b55c-0f4aa6869a76
482,TVEpisode,9,Ready for Battle in Redmond,https://www.hgtv.com/shows/house-hunters/episodes/ready-for-battle-in-redmond,He wants a midcentury modern home that's fit for a super-villain in pricey Redmond; Washington; while she wants a Craftsman. But finding anything priced below their million-dollar budget is going to be a challenge in this red-hot real estate market.,156,Redmond,Washington,1,House Hunters,Redmond; Washington,Redmond; King County; Washington; United States of America,(47.6694141; -122.1238767; 0.0),47.6694141,-122.1238767,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/ready-for-battle-in-redmond,Good,https://www.hulu.com/series/house-hunters-d9110a19-3f29-4ed1-b55c-0f4aa6869a255
665,TVEpisode,7,Style vs. Function in Spokane,https://www.hgtv.com/shows/house-hunters/episodes/style-vs-function-in-spokane,Transplants formerly stationed in Okinawa; Japan; look to buy their first home in Spokane. She wants an old charmer with space for her photography studio; and he doesn't mind some sweat equity as long as there's a dedicated workshop.,142,Spokane,Washington,0,House Hunters,Spokane; Washington,Spokane; Spokane County; Washington; United States of America,(47.6579425; -117.4212265; 0.0),47.6579425,-117.4212265,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/style-vs-function-in-spokane,Good,https://www.hulu.com/series/house-hunters-d9110a19-3f29-4ed1-b55c-0f4aa6869a77
463,TVEpisode,3,Looking to Upgrade in Liberty Lake; WA,https://www.hgtv.com/shows/house-hunters/episodes/looking-to-upgrade-in-liberty-lake-wa,A former pro-football player and his family are looking to upgrade to a bigger home in Liberty Lake; Washington. But since they also want killer views and to be near the lake; things might get tricky in the area's limited market.,157,Liberty Lake,Washington,0,House Hunters,,,,47.656111,-117.086389,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/looking-to-upgrade-in-liberty-lake-wa,Good,https://www.hulu.com/series/house-hunters-d9110a19-3f29-4ed1-b55c-0f4aa6869a269
636,TVEpisode,6,Seeking Space in Seattle,https://www.hgtv.com/shows/house-hunters/episodes/seeking-space-in-seattle,A Seattle couple is on the hunt for a home with enough space for their two young children. He wants a fixer-upper with character in the middle of the city; but she prefers a move-in ready home in the suburbs.,144,Seattle,Washington,0,House Hunters,Seattle; Washington,Seattle; King County; Washington; United States of America,(47.6038321; -122.3300624; 0.0),47.6038321,-122.3300624,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/seeking-space-in-seattle,Good,https://www.hulu.com/series/house-hunters-d9110a19-3f29-4ed1-b55c-0f4aa6869a101
614,TVEpisode,10,Seeking a Home Outside the Box in Seattle,https://www.hgtv.com/shows/house-hunters/episodes/seeking-a-home-outside-the-box-in-seattle,A couple looks to settle down in Seattle; but they are at odds with everything when it comes to style. He'd like a new build that's modern and clean; while she likes older homes that are not shaped like a box.,146,Seattle,Washington,0,House Hunters,Seattle; Washington,Seattle; King County; Washington; United States of America,(47.6038321; -122.3300624; 0.0),47.6038321,-122.3300624,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/seeking-a-home-outside-the-box-in-seattle,Good,https://www.hulu.com/series/house-hunters-d9110a19-3f29-4ed1-b55c-0f4aa6869a126
493,TVEpisode,6,A Battle in Seattle,https://www.hgtv.com/shows/house-hunters/episodes/a-battle-in-seattle,A couple wants to buy their first home together in Seattle; but one wants room for a trampoline while the other must have a gas range. However; in the hyper-competitive Seattle market; finding a home they can afford will be the real battle.,155,Seattle,Washington,0,House Hunters,Seattle; Washington,Seattle; King County; Washington; United States of America,(47.6038321; -122.3300624; 0.0),47.6038321,-122.3300624,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/a-battle-in-seattle,Good,https://www.hulu.com/series/house-hunters-d9110a19-3f29-4ed1-b55c-0f4aa6869a243
389,TVEpisode,8,Kiwi Family Searches Seattle,https://www.hgtv.com/shows/house-hunters/episodes/kiwi-family-searches-seattle,After a few years in Minneapolis; a New Zealand native and his wife are moving their three kids; two dogs and a fish to Seattle for his new job. Reeling from real estate sticker shock; the couple has raised their initial budget to find a home with a big kitchen and a spacious backyard. But his biggest hurdle might be convincing his wife that they need a spot for the boat he's always wanted.,163,Seattle,Washington,0,House Hunters,Seattle; Washington,Seattle; King County; Washington; United States of America,(47.6038321; -122.3300624; 0.0),47.6038321,-122.3300624,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/kiwi-family-searches-seattle,Good,https://www.hulu.com/series/house-hunters-d9110a19-3f29-4ed1-b55c-0f4aa6869a346
163,TVEpisode,6,Big Ballin' In Seattle,https://www.hgtv.com/shows/house-hunters/episodes/big-ballin-in-seattle,A pro football player and his wife are ready to upgrade to a bigger home for their growing family in Seattle. He's looking for luxuries like heated floors and a huge game room; but she wants something more homey and practical.,181,Seattle,Washington,0,House Hunters,Seattle; Washington,Seattle; King County; Washington; United States of America,(47.6038321; -122.3300624; 0.0),47.6038321,-122.3300624,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/big-ballin-in-seattle,Good,https://www.hulu.com/series/house-hunters-d9110a19-3f29-4ed1-b55c-0f4aa6869a539
93,TVEpisode,10,Better Late Than Never in Seattle,https://www.hgtv.com/shows/house-hunters/episodes/better-late-than-never-in-seattle,A Seattle couple is at odds over deciding on their home purchase. One is looking for a classic house that brings up memories of childhood; while the other just dreams of big dollar signs.,187,Seattle,Washington,0,House Hunters,Seattle; Washington,Seattle; King County; Washington; United States of America,(47.6038321; -122.3300624; 0.0),47.6038321,-122.3300624,0,https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/better-late-than-never-in-seattle,Good,https://www.hulu.com/series/house-hunters-d9110a19-3f29-4ed1-b55c-0f4aa6869a591
