name;ep;watch;desc;deets;lat;lng;hulu
A Family Affair in Umea, Sweden;Season: 128 Episode: 4;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/a-family-affair-in-umea-sweden target="_blank">Watch on HGTV GO</a>";When Tiffany landed a teaching position in Umea, Sweden, it wasn't just her husband, Dave, and the kids who were packing their bags. Tiffany's twin sister, Vanessa, is also on board for the move, and while the sisters may be inseparable, their wish lists aren't as in sync. To settle her entire family abroad, Tiffany will have to juggle the needs of the whole gang and hopefully land them in a home they can all agree on.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/a-family-affair-in-umea-sweden target="_blank">here</a> for episode details.";63.8256568;20.2630745;
Fearing Finnish Winters in Jyvaskyla;Season: 137 Episode: 1;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/fearing-finnish-winters-in-jyvaskyla target="_blank">Watch on HGTV GO</a>";A woman accepts a job in Jyvaskyla, Finland, knowing nothing about the location other than it has notoriously cold and dark winters. Despite assurances from her friend and agent that winter is manageable, her fear runs wild and she finds herself tasked with choosing between spreading her finances too thin or embracing a winter commute.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/fearing-finnish-winters-in-jyvaskyla target="_blank">here</a> for episode details.";62.2393002;25.745951;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d167
Heritage and Handiwork in Sweden;Season: 152 Episode: 3;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/heritage-and-handiwork-in-sweden target="_blank">Watch on HGTV GO</a>";An American man wants to trace his Swedish ancestry and a mysterious family heirloom leads him to Vasteras. While his fiancee is willing to give up everything familiar in Colorado to follow him, she is steadfast about bringing her family values with her.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/heritage-and-handiwork-in-sweden target="_blank">here</a> for episode details.";59.6110992;16.5463679;
Drawn to Life in Stockholm;Season: 134 Episode: 11;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/drawn-to-life-in-stockholm target="_blank">Watch on HGTV GO</a>";After the birth of their child, a Toronto animator and his wife decided it was time for more stability than his freelance paycheck provided. He landed a full-time gig in Stockholm, Sweden, but she's the one drawing all the lines while they hunt for a new home.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/drawn-to-life-in-stockholm target="_blank">here</a> for episode details.";59.3251172;18.0710935;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d166
Downsizing in Stockholm;Season: 117 Episode: 2;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/downsizing-in-stockholm target="_blank">Watch on HGTV GO</a>";Annika and Mike have given up their five-bedroom home and steady jobs in order to set sail for Stockholm, Sweden, a family-friendly city where they want to raise their 3-year-old son. Family ties and attending grad school in Stockholm have made Annika accustomed to Scandinavian living, but the move is a dramatic change for Mike. He's in for a shock when it comes to the size of affordable apartments, and without jobs, the couple will have to stick to a tight budget.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/downsizing-in-stockholm target="_blank">here</a> for episode details.";59.3251172;18.0710935;
Honeymooners in Stockholm;Season: 128 Episode: 13;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/honeymooners-in-stockholm target="_blank">Watch on HGTV GO</a>";When David found out he couldn't bring Jessie to Stockholm unless they were married, he bought her a candy ring and hoped for the best. Now they're off to Sweden as newlyweds, with just one income and the challenges of living together for the first time. Jessie would like to find a place where she has her own personal space, but the couple's budget may force them into one where they cook, eat and sleep all in the same room.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/honeymooners-in-stockholm target="_blank">here</a> for episode details.";59.3251172;18.0710935;
A Modern Day Viking Conquest in Sweden;Season: 138 Episode: 12;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/a-modern-day-viking-conquest-in-sweden target="_blank">Watch on HGTV GO</a>";Two modern-day Vikings living in Gothenburg, Sweden, desperately need more space for them and their four dogs. These two want a sturdy home with ample yard space, but they'll have to battle the circumstances and each other to get a home that will suit their changing needs.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/a-modern-day-viking-conquest-in-sweden target="_blank">here</a> for episode details.";57.7072326;11.9670171;https://www.hulu.com/series/house-hunters-international-ccb2f0a5-c6cb-45c1-a6d7-4e5828ac43d165
Three's a Crowd in Sweden;Season: 126 Episode: 13;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/threes-a-crowd-in-sweden target="_blank">Watch on HGTV GO</a>";Friends Caitlin and Hanna are following teaching jobs to Gothenburg, Sweden. Hanna and her long-distance boyfriend are using the opportunity to live under one roof, throwing Caitlin for a loop. While Hanna wants to be in the hustle and bustle of downtown, Caitlin is more cautious with finances and prefers having more space over a hip location.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/threes-a-crowd-in-sweden target="_blank">here</a> for episode details.";57.7072326;11.9670171;
Modern Vikings Settle into Modern Life;Season: 130r1r Episode: 4;"<a href=https://watch.hgtv.com/tv-shows/house-hunters-international/full-episodes/modern-vikings-settle-into-modern-life target="_blank">Watch on HGTV GO</a>";After exploring his Viking roots in Scandinavia, Rob moved to Gothenburg, Sweden, to be with Alva. Now, the couple reminisces and plays a drinking game while sharing updates on their modern Viking life.;"Click <a href=https://www.hgtv.com/shows/house-hunters-international/episodes/modern-vikings-settle-into-modern-life target="_blank">here</a> for episode details.";57.7072326;11.9670171;
San Juan Islands Serenity;Season: 161 Episode: 6;"<a href=https://watch.hgtv.com/tv-shows/house-hunters/full-episodes/san-juan-islands-serenity target="_blank">Watch on HGTV GO</a>";After years of living a hectic lifestyle north of Seattle, Sybil and Travis settled on the quiet shores of Washington's San Juan Islands, and now are searching for another home among the islands for a family vacation spot. But while Sybil wants to find a home that will appeal to renters, Travis is firm on budget.;"Click <a href=https://www.hgtv.com/shows/house-hunters/episodes/san-juan-islands-serenity target="_blank">here</a> for episode details.";48.532066;-123.029251;https://www.hulu.com/series/house-hunters-d9110a19-3f29-4ed1-b55c-0f4aa6869a320
